employee_id,gender,years_of_experience,job_level,industry,company_size,negotiated_salary,employment_type,career_gap_months,num_promotions,primary_caregiver,relocated_for_job,works_overtime,education_level,city_tier,performance_rating,age,domain,monthly_salary_inr
EMP0001,Female,10.7,Senior,Consulting,Large (500-2000),0,Full-Time,0,1,0,0,0,Post-Graduate,Tier 3,3,32,Customer Support,70511
EMP0002,Female,4.2,Mid,FMCG,MNC (2000+),0,Full-Time,6,0,1,0,1,Post-Graduate,Tier 3,4,27,Finance,49414
EMP0003,Male,0.8,Junior,Technology,Large (500-2000),1,Full-Time,0,0,0,1,1,Post-Graduate,Tier 3,2,22,Engineering,30947
EMP0004,Female,9.8,Senior,Healthcare,MNC (2000+),1,Full-Time,18,2,1,0,1,Post-Graduate,Tier 2,4,38,Engineering,108069
EMP0005,Male,12.7,Manager,Finance & Banking,Large (500-2000),0,Full-Time,0,4,0,0,0,MBA,Tier 1,3,34,Finance,160383
EMP0006,Male,8.7,Senior,Manufacturing,Startup (<50),1,Full-Time,0,2,0,1,0,MBA,Tier 1,5,34,Marketing,73139
EMP0007,Female,9.0,Senior,Healthcare,Large (500-2000),0,Contract,6,2,1,0,1,MBA,Tier 3,3,30,Customer Support,65317
EMP0008,Male,13.2,Manager,Technology,MNC (2000+),0,Full-Time,3,4,0,0,0,PhD,Tier 3,4,38,Sales,190514
EMP0009,Male,16.8,Manager,Manufacturing,SME (50-500),0,Full-Time,0,4,0,1,1,PhD,Tier 1,3,41,Engineering,125281
EMP0010,Female,4.1,Junior,Education,MNC (2000+),0,Part-Time,18,1,1,0,0,Post-Graduate,Tier 3,3,25,HR,16269
EMP0011,Female,5.1,Mid,Education,Startup (<50),0,Full-Time,6,0,1,0,0,Post-Graduate,Tier 1,3,29,Engineering,47894
EMP0012,Male,4.6,Mid,Media,MNC (2000+),1,Full-Time,0,2,0,0,1,High School,Tier 2,4,26,Sales,41124
EMP0013,Male,5.6,Mid,Consulting,Large (500-2000),1,Full-Time,3,1,0,1,0,Graduate,Tier 1,5,25,Operations,64264
EMP0014,Female,1.6,Junior,Retail,SME (50-500),1,Full-Time,3,0,1,0,1,Post-Graduate,Tier 3,3,27,Customer Support,23376
